Document,Topic,Name,Representation,Aspect1,Representative_Docs,Top_n_words,Probability,Representative_document
"Love benefits of books, programs for Moms and babies, teens, families, seniors, computer access and more. Vital community hub! What do you think of this new central library and Ottawa Canada Via",1,1_edmonton_resident_calgary_meeting,"['edmonton', 'resident', 'calgary', 'meeting', 'airport', 'visit', 'celebrating', 'st', 'activities', 'wellness']","['edmonton', 'resident', 'calgary', 'meeting', 'airport', 'visit', 'celebrating', 'st', 'activities', 'wellness']","['Year 7 of stocking stuffers for seniors! The last 2 years have been a little different, but when we knock on the seniors doors with their gifts, the smiles and kind words make it all worth it. Thank you to everyone who sponsored a senior this Christmas! Edmonton International Airport tweet up', ""Our planning meeting today! Join us Wednesday as I host the: Mental Wellness Town Hall Bell Let Us Talk Self-Care Wed, January 26th 12:00 pm (MST) on Windspeaker Radio Network. Our panelist include: -Dr. Evan Adams -Kairyn Potts and -Elder Pam Heavyhead Indigenous Bell Let's Talk"", 'Chinatown Seniors Lodge and courtyard There are 4 facilities to service different stages from independent to assisted living. The center has been impacted by light rail transit construction and COVID-19, losing 1/3 of their residents since October 2020 (1/3) Edmonton International Airport']",edmonton - resident - calgary - meeting - airport - visit - celebrating - st - activities - wellness,1.0,False
"The input by the Elders on the last part of the Social Studies curriculum was totally disregarded. Alta Executive Director seemed to listen as we went through the pre-draft, but then something happened to all the work we did regarding the first draft. Nothing like being thrown under the bus.",0,0_welfare_canadians_pension_trudeau,"['welfare', 'canadians', 'pension', 'trudeau', 'afford', 'alberta', 'poverty', 'conservatives', 'homeless', 'conservative']","['welfare', 'canadians', 'pension', 'trudeau', 'afford', 'alberta', 'poverty', 'conservatives', 'homeless', 'conservative']","['This pandemic has shown us how bad things were. Millions of Canadians do not have affordable housing, secure employment or enough to get by. Persons with Disability, seniors, students, Black, Indigenous, and People of Color. who can afford to rent at $1300 to $2500 a month? Think about it. A min of $15,000 per month rent.', 'Affordability theme starting how can our seniors survive the current economic situation. Part 1 w and views on this. Doubling Canada Emergency Response Benefit by the Conservatives? Debate 2021 Politics Canada 44th Canadian Federal Election Canadian Politics', 'We need government solutions - a raise in Ontario Disability Support Program rates, Ontario Autism Program, Canada Pension Plan, not to mention Ontario Works (welfare). Universal Basic Income without cuts to services. Affordable housing, supportive housing for those with needs. Government funded food access. And safe supply so I do not wonder when someone is missing...']",welfare - canadians - pension - trudeau - afford - alberta - poverty - conservatives - homeless - conservative,0.7912376135077166,False
I hope that many stories are available from James elders.,-1,-1_transgender_bronx_christmas_lesbian,"['transgender', 'bronx', 'christmas', 'lesbian', 'celebrate', 'party', 'millennials', 'celebrated', 'bisexual', 'gay']","['transgender', 'bronx', 'christmas', 'lesbian', 'celebrate', 'party', 'millennials', 'celebrated', 'bisexual', 'gay']","['Bronx lesbian, gay, bisexual, and transgender group helps aging adults celebrate Christmas: An lesbian, gay, bisexual, and transgender group in the Bronx dedicated to helping lesbian, gay, bisexual, and transgender elders, celebrated Christmas today alongside members of the community. View article...', 'CANR Bronx lesbian, gay, bisexual, and transgender group helps aging adults celebrate Christmas: An lesbian, gay, bisexual, and transgender group in the Bronx dedicated to helping lesbian, gay, bisexual, and transgender elders, celebrated Christmas today alongside members of the community. View article...', 'CAD Bronx lesbian, gay, bisexual, and transgender group helps aging adults celebrate Christmas: An lesbian, gay, bisexual, and transgender group in the Bronx dedicated to helping lesbian, gay, bisexual, and transgender elders, celebrated Christmas today alongside members of the community. View article...']",transgender - bronx - christmas - lesbian - celebrate - party - millennials - celebrated - bisexual - gay,0.0,False
"A bit of logic is too much to ask for. Although we are closing Emergency Rooms due to staff shortages, not enough GPs for current , long wait times for specialists or surgeries, huge issues in long term care we are drawing 30 thousand (50 thousand seniors) more apps for parent sponsorship to add to the 10k in winter.",0,0_welfare_canadians_pension_trudeau,"['welfare', 'canadians', 'pension', 'trudeau', 'afford', 'alberta', 'poverty', 'conservatives', 'homeless', 'conservative']","['welfare', 'canadians', 'pension', 'trudeau', 'afford', 'alberta', 'poverty', 'conservatives', 'homeless', 'conservative']","['This pandemic has shown us how bad things were. Millions of Canadians do not have affordable housing, secure employment or enough to get by. Persons with Disability, seniors, students, Black, Indigenous, and People of Color. who can afford to rent at $1300 to $2500 a month? Think about it. A min of $15,000 per month rent.', 'Affordability theme starting how can our seniors survive the current economic situation. Part 1 w and views on this. Doubling Canada Emergency Response Benefit by the Conservatives? Debate 2021 Politics Canada 44th Canadian Federal Election Canadian Politics', 'We need government solutions - a raise in Ontario Disability Support Program rates, Ontario Autism Program, Canada Pension Plan, not to mention Ontario Works (welfare). Universal Basic Income without cuts to services. Affordable housing, supportive housing for those with needs. Government funded food access. And safe supply so I do not wonder when someone is missing...']",welfare - canadians - pension - trudeau - afford - alberta - poverty - conservatives - homeless - conservative,1.0,False
Pulling a knife on someone is a choice. Robbing old ladies is a choice. I could care less how they got there.,-1,-1_transgender_bronx_christmas_lesbian,"['transgender', 'bronx', 'christmas', 'lesbian', 'celebrate', 'party', 'millennials', 'celebrated', 'bisexual', 'gay']","['transgender', 'bronx', 'christmas', 'lesbian', 'celebrate', 'party', 'millennials', 'celebrated', 'bisexual', 'gay']","['Bronx lesbian, gay, bisexual, and transgender group helps aging adults celebrate Christmas: An lesbian, gay, bisexual, and transgender group in the Bronx dedicated to helping lesbian, gay, bisexual, and transgender elders, celebrated Christmas today alongside members of the community. View article...', 'CANR Bronx lesbian, gay, bisexual, and transgender group helps aging adults celebrate Christmas: An lesbian, gay, bisexual, and transgender group in the Bronx dedicated to helping lesbian, gay, bisexual, and transgender elders, celebrated Christmas today alongside members of the community. View article...', 'CAD Bronx lesbian, gay, bisexual, and transgender group helps aging adults celebrate Christmas: An lesbian, gay, bisexual, and transgender group in the Bronx dedicated to helping lesbian, gay, bisexual, and transgender elders, celebrated Christmas today alongside members of the community. View article...']",transgender - bronx - christmas - lesbian - celebrate - party - millennials - celebrated - bisexual - gay,0.0,False
I know I could take on a goose if a child or frail elder was being harmed. I also know I would not escape uninjured.,2,2_vaccine_vaccines_vaccinated_vaccination,"['vaccine', 'vaccines', 'vaccinated', 'vaccination', 'covid19', 'covid', 'unvaccinated', 'coronavirus', 'immunity', 'immunocompromised']","['vaccine', 'vaccines', 'vaccinated', 'vaccination', 'covid19', 'covid', 'unvaccinated', 'coronavirus', 'immunity', 'immunocompromised']","['Am I part of the Flu Trux Klan event nope! Triple vaccinated and give vaccines to keep the elderly and immunosuppressed safe. Despise selfish con artists and grifters. needs to give the money back as it is for a political anti vaccine event. Covid Idiots', 'Can my elderly mom get her second dose please? She is caring for my elderly father with prostate cancer. But she keeps being turned away. Alberta covid Alberta vaccine', 'Ghanaian Canadian Association of Ontario popup vaccine clinic is offering second pfizer doses for seniors ages 70 and older and any frontline health worker. And 1st dose to anyone 12 years and above. To register please click the link below: covid 19 Pfizer Vaccine 1st dose covid19 vaccine']",vaccine - vaccines - vaccinated - vaccination - covid19 - covid - unvaccinated - coronavirus - immunity - immunocompromised,1.0,False
That is the situation in which I ended up with 2 gold coins found in an old book. The person who was elderly had died and a lot of books sat in the Sally Ann for ages. Happens,-1,-1_transgender_bronx_christmas_lesbian,"['transgender', 'bronx', 'christmas', 'lesbian', 'celebrate', 'party', 'millennials', 'celebrated', 'bisexual', 'gay']","['transgender', 'bronx', 'christmas', 'lesbian', 'celebrate', 'party', 'millennials', 'celebrated', 'bisexual', 'gay']","['Bronx lesbian, gay, bisexual, and transgender group helps aging adults celebrate Christmas: An lesbian, gay, bisexual, and transgender group in the Bronx dedicated to helping lesbian, gay, bisexual, and transgender elders, celebrated Christmas today alongside members of the community. View article...', 'CANR Bronx lesbian, gay, bisexual, and transgender group helps aging adults celebrate Christmas: An lesbian, gay, bisexual, and transgender group in the Bronx dedicated to helping lesbian, gay, bisexual, and transgender elders, celebrated Christmas today alongside members of the community. View article...', 'CAD Bronx lesbian, gay, bisexual, and transgender group helps aging adults celebrate Christmas: An lesbian, gay, bisexual, and transgender group in the Bronx dedicated to helping lesbian, gay, bisexual, and transgender elders, celebrated Christmas today alongside members of the community. View article...']",transgender - bronx - christmas - lesbian - celebrate - party - millennials - celebrated - bisexual - gay,0.0,False
I believe decision on vaccination of hot spot area for 18+ has helped. I hope we can continue the same approach for 2nd dose and start vaccination for hot spots as soon as they are due. Off course long term care and seniors takes priority as well.,2,2_vaccine_vaccines_vaccinated_vaccination,"['vaccine', 'vaccines', 'vaccinated', 'vaccination', 'covid19', 'covid', 'unvaccinated', 'coronavirus', 'immunity', 'immunocompromised']","['vaccine', 'vaccines', 'vaccinated', 'vaccination', 'covid19', 'covid', 'unvaccinated', 'coronavirus', 'immunity', 'immunocompromised']","['Am I part of the Flu Trux Klan event nope! Triple vaccinated and give vaccines to keep the elderly and immunosuppressed safe. Despise selfish con artists and grifters. needs to give the money back as it is for a political anti vaccine event. Covid Idiots', 'Can my elderly mom get her second dose please? She is caring for my elderly father with prostate cancer. But she keeps being turned away. Alberta covid Alberta vaccine', 'Ghanaian Canadian Association of Ontario popup vaccine clinic is offering second pfizer doses for seniors ages 70 and older and any frontline health worker. And 1st dose to anyone 12 years and above. To register please click the link below: covid 19 Pfizer Vaccine 1st dose covid19 vaccine']",vaccine - vaccines - vaccinated - vaccination - covid19 - covid - unvaccinated - coronavirus - immunity - immunocompromised,0.5894124390058729,False
Not pharmacies please.. already it is hard for seniors to get their prescriptions as parking lot and store get full if people getting Covid tested or vaccinated. They do not have the 2m distance. A drive through handout perhaps,2,2_vaccine_vaccines_vaccinated_vaccination,"['vaccine', 'vaccines', 'vaccinated', 'vaccination', 'covid19', 'covid', 'unvaccinated', 'coronavirus', 'immunity', 'immunocompromised']","['vaccine', 'vaccines', 'vaccinated', 'vaccination', 'covid19', 'covid', 'unvaccinated', 'coronavirus', 'immunity', 'immunocompromised']","['Am I part of the Flu Trux Klan event nope! Triple vaccinated and give vaccines to keep the elderly and immunosuppressed safe. Despise selfish con artists and grifters. needs to give the money back as it is for a political anti vaccine event. Covid Idiots', 'Can my elderly mom get her second dose please? She is caring for my elderly father with prostate cancer. But she keeps being turned away. Alberta covid Alberta vaccine', 'Ghanaian Canadian Association of Ontario popup vaccine clinic is offering second pfizer doses for seniors ages 70 and older and any frontline health worker. And 1st dose to anyone 12 years and above. To register please click the link below: covid 19 Pfizer Vaccine 1st dose covid19 vaccine']",vaccine - vaccines - vaccinated - vaccination - covid19 - covid - unvaccinated - coronavirus - immunity - immunocompromised,0.8580265306709437,False
I do not understand how seniors who have seen cuts in programs and increased fees such as for license medicals support the United Conservative Party. I am so worried about the privatization of healthcare and funding cuts for K-12 and post- secondary schooling impacts my family. Alberta Legislative Sherwoord Park care,0,0_welfare_canadians_pension_trudeau,"['welfare', 'canadians', 'pension', 'trudeau', 'afford', 'alberta', 'poverty', 'conservatives', 'homeless', 'conservative']","['welfare', 'canadians', 'pension', 'trudeau', 'afford', 'alberta', 'poverty', 'conservatives', 'homeless', 'conservative']","['This pandemic has shown us how bad things were. Millions of Canadians do not have affordable housing, secure employment or enough to get by. Persons with Disability, seniors, students, Black, Indigenous, and People of Color. who can afford to rent at $1300 to $2500 a month? Think about it. A min of $15,000 per month rent.', 'Affordability theme starting how can our seniors survive the current economic situation. Part 1 w and views on this. Doubling Canada Emergency Response Benefit by the Conservatives? Debate 2021 Politics Canada 44th Canadian Federal Election Canadian Politics', 'We need government solutions - a raise in Ontario Disability Support Program rates, Ontario Autism Program, Canada Pension Plan, not to mention Ontario Works (welfare). Universal Basic Income without cuts to services. Affordable housing, supportive housing for those with needs. Government funded food access. And safe supply so I do not wonder when someone is missing...']",welfare - canadians - pension - trudeau - afford - alberta - poverty - conservatives - homeless - conservative,1.0,False
"I was raised to address elders or people of importance, Mr. or Mrs. Surname. So, I find it odd to see people I presume are no more familiar with you than I am. Do you prefer being called Bill or the more formal Mr. Shatner by complete strangers?",1,1_edmonton_resident_calgary_meeting,"['edmonton', 'resident', 'calgary', 'meeting', 'airport', 'visit', 'celebrating', 'st', 'activities', 'wellness']","['edmonton', 'resident', 'calgary', 'meeting', 'airport', 'visit', 'celebrating', 'st', 'activities', 'wellness']","['Year 7 of stocking stuffers for seniors! The last 2 years have been a little different, but when we knock on the seniors doors with their gifts, the smiles and kind words make it all worth it. Thank you to everyone who sponsored a senior this Christmas! Edmonton International Airport tweet up', ""Our planning meeting today! Join us Wednesday as I host the: Mental Wellness Town Hall Bell Let Us Talk Self-Care Wed, January 26th 12:00 pm (MST) on Windspeaker Radio Network. Our panelist include: -Dr. Evan Adams -Kairyn Potts and -Elder Pam Heavyhead Indigenous Bell Let's Talk"", 'Chinatown Seniors Lodge and courtyard There are 4 facilities to service different stages from independent to assisted living. The center has been impacted by light rail transit construction and COVID-19, losing 1/3 of their residents since October 2020 (1/3) Edmonton International Airport']",edmonton - resident - calgary - meeting - airport - visit - celebrating - st - activities - wellness,0.7211883093242163,False
"215 children in Kamloops; 104 children in Brandon, Manitoba; 751 Children in Cowessess, Saskatchewan. Our Elders gave evidence to the Truth and Reconciliation Commission. Canada did not believe it. Now Canada has no choice but to act. Prayers up, we need them. Sometimes it's hard to be Indigenous TRC Calls To Action 71 to 76 No Denial",6,6_indigenousled_reconciliation_yukon_schools,"['indigenousled', 'reconciliation', 'yukon', 'schools', 'tribal', 'education', 'survivors', 'testimony', 'prayers', 'sunrises']","['indigenousled', 'reconciliation', 'yukon', 'schools', 'tribal', 'education', 'survivors', 'testimony', 'prayers', 'sunrises']","['To honor National Truth and Reconciliation Day, the Nisgaa Environmental Stewardship Society,  School District 92, plants 100 solar lights and listens to elders and Nisgaa governance talk about survival and thriving in the Nisgaa Nation. Truth and Reconciliation Day', 'My colleagues and I spent the last two days at St Eugenes meeting with Blackfoot Elders and learning about the impacts of residential schools. Last night we found out 182 unmarked graves had been found. A legacy of sorrow. Truth And Reconciliation', ""215 children in Kamloops; 104 children in Brandon, Manitoba; 751 Children in Cowessess, Saskatchewan. Our Elders gave evidence to the Truth and Reconciliation Commission. Canada did not believe it. Now Canada has no choice but to act. Prayers up, we need them. Sometimes it's hard to be Indigenous TRC Calls To Action 71 to 76 No Denial""]",indigenousled - reconciliation - yukon - schools - tribal - education - survivors - testimony - prayers - sunrises,1.0,True
"Awesome. Lots of work, but will be great to see the results!",1,1_edmonton_resident_calgary_meeting,"['edmonton', 'resident', 'calgary', 'meeting', 'airport', 'visit', 'celebrating', 'st', 'activities', 'wellness']","['edmonton', 'resident', 'calgary', 'meeting', 'airport', 'visit', 'celebrating', 'st', 'activities', 'wellness']","['Year 7 of stocking stuffers for seniors! The last 2 years have been a little different, but when we knock on the seniors doors with their gifts, the smiles and kind words make it all worth it. Thank you to everyone who sponsored a senior this Christmas! Edmonton International Airport tweet up', ""Our planning meeting today! Join us Wednesday as I host the: Mental Wellness Town Hall Bell Let Us Talk Self-Care Wed, January 26th 12:00 pm (MST) on Windspeaker Radio Network. Our panelist include: -Dr. Evan Adams -Kairyn Potts and -Elder Pam Heavyhead Indigenous Bell Let's Talk"", 'Chinatown Seniors Lodge and courtyard There are 4 facilities to service different stages from independent to assisted living. The center has been impacted by light rail transit construction and COVID-19, losing 1/3 of their residents since October 2020 (1/3) Edmonton International Airport']",edmonton - resident - calgary - meeting - airport - visit - celebrating - st - activities - wellness,1.0,False
The elderly and those with bad health are like 40% of our population. Are you okay with them dying?,-1,-1_transgender_bronx_christmas_lesbian,"['transgender', 'bronx', 'christmas', 'lesbian', 'celebrate', 'party', 'millennials', 'celebrated', 'bisexual', 'gay']","['transgender', 'bronx', 'christmas', 'lesbian', 'celebrate', 'party', 'millennials', 'celebrated', 'bisexual', 'gay']","['Bronx lesbian, gay, bisexual, and transgender group helps aging adults celebrate Christmas: An lesbian, gay, bisexual, and transgender group in the Bronx dedicated to helping lesbian, gay, bisexual, and transgender elders, celebrated Christmas today alongside members of the community. View article...', 'CANR Bronx lesbian, gay, bisexual, and transgender group helps aging adults celebrate Christmas: An lesbian, gay, bisexual, and transgender group in the Bronx dedicated to helping lesbian, gay, bisexual, and transgender elders, celebrated Christmas today alongside members of the community. View article...', 'CAD Bronx lesbian, gay, bisexual, and transgender group helps aging adults celebrate Christmas: An lesbian, gay, bisexual, and transgender group in the Bronx dedicated to helping lesbian, gay, bisexual, and transgender elders, celebrated Christmas today alongside members of the community. View article...']",transgender - bronx - christmas - lesbian - celebrate - party - millennials - celebrated - bisexual - gay,0.0,False
Earlier this morning was the only time I wished I was 55 or older. Went to the store firsr thing this morning and they were only open to elders 55 and older.,-1,-1_transgender_bronx_christmas_lesbian,"['transgender', 'bronx', 'christmas', 'lesbian', 'celebrate', 'party', 'millennials', 'celebrated', 'bisexual', 'gay']","['transgender', 'bronx', 'christmas', 'lesbian', 'celebrate', 'party', 'millennials', 'celebrated', 'bisexual', 'gay']","['Bronx lesbian, gay, bisexual, and transgender group helps aging adults celebrate Christmas: An lesbian, gay, bisexual, and transgender group in the Bronx dedicated to helping lesbian, gay, bisexual, and transgender elders, celebrated Christmas today alongside members of the community. View article...', 'CANR Bronx lesbian, gay, bisexual, and transgender group helps aging adults celebrate Christmas: An lesbian, gay, bisexual, and transgender group in the Bronx dedicated to helping lesbian, gay, bisexual, and transgender elders, celebrated Christmas today alongside members of the community. View article...', 'CAD Bronx lesbian, gay, bisexual, and transgender group helps aging adults celebrate Christmas: An lesbian, gay, bisexual, and transgender group in the Bronx dedicated to helping lesbian, gay, bisexual, and transgender elders, celebrated Christmas today alongside members of the community. View article...']",transgender - bronx - christmas - lesbian - celebrate - party - millennials - celebrated - bisexual - gay,0.0,False
"Fraser Valley Seniors is a community group whose goal is to prevent isolation and create engagement and discussion on various topics in order to add ""Life to Years""!",1,1_edmonton_resident_calgary_meeting,"['edmonton', 'resident', 'calgary', 'meeting', 'airport', 'visit', 'celebrating', 'st', 'activities', 'wellness']","['edmonton', 'resident', 'calgary', 'meeting', 'airport', 'visit', 'celebrating', 'st', 'activities', 'wellness']","['Year 7 of stocking stuffers for seniors! The last 2 years have been a little different, but when we knock on the seniors doors with their gifts, the smiles and kind words make it all worth it. Thank you to everyone who sponsored a senior this Christmas! Edmonton International Airport tweet up', ""Our planning meeting today! Join us Wednesday as I host the: Mental Wellness Town Hall Bell Let Us Talk Self-Care Wed, January 26th 12:00 pm (MST) on Windspeaker Radio Network. Our panelist include: -Dr. Evan Adams -Kairyn Potts and -Elder Pam Heavyhead Indigenous Bell Let's Talk"", 'Chinatown Seniors Lodge and courtyard There are 4 facilities to service different stages from independent to assisted living. The center has been impacted by light rail transit construction and COVID-19, losing 1/3 of their residents since October 2020 (1/3) Edmonton International Airport']",edmonton - resident - calgary - meeting - airport - visit - celebrating - st - activities - wellness,1.0,False
"All students and staff should be safe at school. This extends to their families, especially those with elders, infants and immunocompromised. Still15COVIDDeathsPerDay",2,2_vaccine_vaccines_vaccinated_vaccination,"['vaccine', 'vaccines', 'vaccinated', 'vaccination', 'covid19', 'covid', 'unvaccinated', 'coronavirus', 'immunity', 'immunocompromised']","['vaccine', 'vaccines', 'vaccinated', 'vaccination', 'covid19', 'covid', 'unvaccinated', 'coronavirus', 'immunity', 'immunocompromised']","['Am I part of the Flu Trux Klan event nope! Triple vaccinated and give vaccines to keep the elderly and immunosuppressed safe. Despise selfish con artists and grifters. needs to give the money back as it is for a political anti vaccine event. Covid Idiots', 'Can my elderly mom get her second dose please? She is caring for my elderly father with prostate cancer. But she keeps being turned away. Alberta covid Alberta vaccine', 'Ghanaian Canadian Association of Ontario popup vaccine clinic is offering second pfizer doses for seniors ages 70 and older and any frontline health worker. And 1st dose to anyone 12 years and above. To register please click the link below: covid 19 Pfizer Vaccine 1st dose covid19 vaccine']",vaccine - vaccines - vaccinated - vaccination - covid19 - covid - unvaccinated - coronavirus - immunity - immunocompromised,0.8377141584178249,False
i am going to put them on my wall with special plate holders like a proper elder millennial naturally.,3,3_influencer_influence_rich_violence,"['influencer', 'influence', 'rich', 'violence', 'superiority', 'resilient', 'pastor', 'holocaust', 'sacrificing', 'opus']","['influencer', 'influence', 'rich', 'violence', 'superiority', 'resilient', 'pastor', 'holocaust', 'sacrificing', 'opus']","['So much wrong in this world our Gitxsan continue to lose our people young and elderly while we struggle to heal and maintain our cultural peace. As they poison lands we draw our medicines and food, is it any wonder now is the time the buckle down on violence', ""With every other person on social media 30 flogging their 'look at my ass or car I am an influencer now' posts, pardon my hesitation to validate their self anointed superiority. We respect elders, witness their experience or gleaned knowledge and we grow. This is not a new idea."", 'I think the issue at hand is less about books and more about power and money. Should any pastor or elder be rich? The Bible clearly wants of the dangers of money. Those with great power or influence or wealth would present a much greater conflict of interest when having a book mentioned 2/2']",influencer - influence - rich - violence - superiority - resilient - pastor - holocaust - sacrificing - opus,0.7270366759418756,False
"This whole thread just brings me to tears. How, as a society, we tolerate this treatment of our elders and most vulnerable, is beyond me. LTC justice",-1,-1_transgender_bronx_christmas_lesbian,"['transgender', 'bronx', 'christmas', 'lesbian', 'celebrate', 'party', 'millennials', 'celebrated', 'bisexual', 'gay']","['transgender', 'bronx', 'christmas', 'lesbian', 'celebrate', 'party', 'millennials', 'celebrated', 'bisexual', 'gay']","['Bronx lesbian, gay, bisexual, and transgender group helps aging adults celebrate Christmas: An lesbian, gay, bisexual, and transgender group in the Bronx dedicated to helping lesbian, gay, bisexual, and transgender elders, celebrated Christmas today alongside members of the community. View article...', 'CANR Bronx lesbian, gay, bisexual, and transgender group helps aging adults celebrate Christmas: An lesbian, gay, bisexual, and transgender group in the Bronx dedicated to helping lesbian, gay, bisexual, and transgender elders, celebrated Christmas today alongside members of the community. View article...', 'CAD Bronx lesbian, gay, bisexual, and transgender group helps aging adults celebrate Christmas: An lesbian, gay, bisexual, and transgender group in the Bronx dedicated to helping lesbian, gay, bisexual, and transgender elders, celebrated Christmas today alongside members of the community. View article...']",transgender - bronx - christmas - lesbian - celebrate - party - millennials - celebrated - bisexual - gay,0.0,False
"Hey - why do you have to gouge people like me who cook for one - or more importantly, seniors and people with low incomes? Insert headshake Off to another store that does not gouge people.",-1,-1_transgender_bronx_christmas_lesbian,"['transgender', 'bronx', 'christmas', 'lesbian', 'celebrate', 'party', 'millennials', 'celebrated', 'bisexual', 'gay']","['transgender', 'bronx', 'christmas', 'lesbian', 'celebrate', 'party', 'millennials', 'celebrated', 'bisexual', 'gay']","['Bronx lesbian, gay, bisexual, and transgender group helps aging adults celebrate Christmas: An lesbian, gay, bisexual, and transgender group in the Bronx dedicated to helping lesbian, gay, bisexual, and transgender elders, celebrated Christmas today alongside members of the community. View article...', 'CANR Bronx lesbian, gay, bisexual, and transgender group helps aging adults celebrate Christmas: An lesbian, gay, bisexual, and transgender group in the Bronx dedicated to helping lesbian, gay, bisexual, and transgender elders, celebrated Christmas today alongside members of the community. View article...', 'CAD Bronx lesbian, gay, bisexual, and transgender group helps aging adults celebrate Christmas: An lesbian, gay, bisexual, and transgender group in the Bronx dedicated to helping lesbian, gay, bisexual, and transgender elders, celebrated Christmas today alongside members of the community. View article...']",transgender - bronx - christmas - lesbian - celebrate - party - millennials - celebrated - bisexual - gay,0.0,False
"My granny was wonderful to my mom she was raised here when there was no welfare system. As a single mom, her dad is elderly now but he has cared about his other son more than he cared for her! But she keeps calling him daddy! I leave her be about it.",-1,-1_transgender_bronx_christmas_lesbian,"['transgender', 'bronx', 'christmas', 'lesbian', 'celebrate', 'party', 'millennials', 'celebrated', 'bisexual', 'gay']","['transgender', 'bronx', 'christmas', 'lesbian', 'celebrate', 'party', 'millennials', 'celebrated', 'bisexual', 'gay']","['Bronx lesbian, gay, bisexual, and transgender group helps aging adults celebrate Christmas: An lesbian, gay, bisexual, and transgender group in the Bronx dedicated to helping lesbian, gay, bisexual, and transgender elders, celebrated Christmas today alongside members of the community. View article...', 'CANR Bronx lesbian, gay, bisexual, and transgender group helps aging adults celebrate Christmas: An lesbian, gay, bisexual, and transgender group in the Bronx dedicated to helping lesbian, gay, bisexual, and transgender elders, celebrated Christmas today alongside members of the community. View article...', 'CAD Bronx lesbian, gay, bisexual, and transgender group helps aging adults celebrate Christmas: An lesbian, gay, bisexual, and transgender group in the Bronx dedicated to helping lesbian, gay, bisexual, and transgender elders, celebrated Christmas today alongside members of the community. View article...']",transgender - bronx - christmas - lesbian - celebrate - party - millennials - celebrated - bisexual - gay,0.0,False
I disagree. Their first limitation on seniors getting AstraZeneca was simply wrong and outdated by at least a couple of months! I knew that the Scottish study demonstrated efficacy for seniors when National Advisory Committee on Immunizationwas limiting its use. Why did not they?,2,2_vaccine_vaccines_vaccinated_vaccination,"['vaccine', 'vaccines', 'vaccinated', 'vaccination', 'covid19', 'covid', 'unvaccinated', 'coronavirus', 'immunity', 'immunocompromised']","['vaccine', 'vaccines', 'vaccinated', 'vaccination', 'covid19', 'covid', 'unvaccinated', 'coronavirus', 'immunity', 'immunocompromised']","['Am I part of the Flu Trux Klan event nope! Triple vaccinated and give vaccines to keep the elderly and immunosuppressed safe. Despise selfish con artists and grifters. needs to give the money back as it is for a political anti vaccine event. Covid Idiots', 'Can my elderly mom get her second dose please? She is caring for my elderly father with prostate cancer. But she keeps being turned away. Alberta covid Alberta vaccine', 'Ghanaian Canadian Association of Ontario popup vaccine clinic is offering second pfizer doses for seniors ages 70 and older and any frontline health worker. And 1st dose to anyone 12 years and above. To register please click the link below: covid 19 Pfizer Vaccine 1st dose covid19 vaccine']",vaccine - vaccines - vaccinated - vaccination - covid19 - covid - unvaccinated - coronavirus - immunity - immunocompromised,0.5894124390058729,False
"I think with vaccines widely available is fait to compare with the flu, which can be deadly for those with underlying health conditions, the elderly, and can overrun our healthcare systems in a bad year. it is a serious illness. We need people to take symptoms seriously",2,2_vaccine_vaccines_vaccinated_vaccination,"['vaccine', 'vaccines', 'vaccinated', 'vaccination', 'covid19', 'covid', 'unvaccinated', 'coronavirus', 'immunity', 'immunocompromised']","['vaccine', 'vaccines', 'vaccinated', 'vaccination', 'covid19', 'covid', 'unvaccinated', 'coronavirus', 'immunity', 'immunocompromised']","['Am I part of the Flu Trux Klan event nope! Triple vaccinated and give vaccines to keep the elderly and immunosuppressed safe. Despise selfish con artists and grifters. needs to give the money back as it is for a political anti vaccine event. Covid Idiots', 'Can my elderly mom get her second dose please? She is caring for my elderly father with prostate cancer. But she keeps being turned away. Alberta covid Alberta vaccine', 'Ghanaian Canadian Association of Ontario popup vaccine clinic is offering second pfizer doses for seniors ages 70 and older and any frontline health worker. And 1st dose to anyone 12 years and above. To register please click the link below: covid 19 Pfizer Vaccine 1st dose covid19 vaccine']",vaccine - vaccines - vaccinated - vaccination - covid19 - covid - unvaccinated - coronavirus - immunity - immunocompromised,1.0,False
